ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),乙丑(을축),92,찰떡 텐션 커플,"든든한 거목 갑목과 유연한 넝쿨 을목이 만난 찐 시너지 조합! 갑자일주의 리더십을 을축일주가 센스 있게 서포트하며 안정감을 더해주는 관계예요. 자(子)와 축(丑)이 만나 딱 붙는 '합'을 이루니, 서로 말하지 않아도 통하는 소울메이트 각! 서로의 에너지를 채워주며 함께 성장하는 갓벽한 텐션의 세계관을 보여줍니다.","서로가 서로의 자존감 지킴이가 되어주는 훈훈한 바이브! 차분하게 대화가 잘 통하면서도, 은근히 챙겨주는 다정함에 심쿵 포인트가 폭발하는 연애 스타일이에요.",둘 다 생각이 깊어서 가끔 고민에 빠질 수 있어요. 그럴 땐 복잡한 생각 대신 맛집 뿌시기로 텐션을 올려주면 우리 사이 설렘 지수 무한 상승!,"심야 드라이브, 전시회 데이트, LP 바 투어",2026-03-06 23:52:32
甲子(갑자),庚午(경오),88,다이내믹 불꽃 커플,시원시원한 대왕 나무 갑자와 카리스마 넘치는 금빛 태양 경오가 만난 역대급 텐션 세계관! 서로 정반대의 에너지가 만나 오히려 도파민 터지는 자극을 주는 관계예요. 차가운 물을 품은 갑자와 뜨거운 불을 품은 경오가 만나 서로의 온도를 맞춰주는 과정 자체가 찐사랑 서사 그 자체! 서로의 부족함을 갓벽하게 채워주는 성장형 케미가 미쳤어요.,솔직담백 그 자체! 밀당보다는 돌직구로 애정 표현하는 힙한 바이브예요. 같이 있으면 세상 화려하고 에너제틱해서 주변 시선 싹쓸이하는 인싸 커플 확정!,둘 다 에너지가 워낙 뿜뿜해서 가끔 불꽃 튀는 토론이 벌어질 수 있어요. 그럴 땐 '오히려 좋아!' 마인드로 서로의 쿨한 매력을 존중해주면 텐션 유지 가능!,"페스티벌 직관, 핫플 팝업스토어, 테니스 데이트",2026-03-06 23:53:10
甲子(갑자),乙亥(을해),95,무한 힐링 커플,"푸른 나무 갑자와 유연한 넝쿨 을목이 만나 서로를 무한 리필해주는 갓벽 시너지! 두 분 다 물(水)의 기운을 품고 있어 감성 주파수가 소름 돋게 일치해요. 서로가 서로의 충전기가 되어주는 '수생목' 텐션이라 같이만 있어도 도파민 대신 평온한 세로토닌이 뿜뿜하는 소울메이트 각입니다. 이 조합, 정서적 유대감이 거의 세계관 최강자급!",몽글몽글한 감성 카페에서 인생샷 건져주는 따스한 바이브! 굳이 말하지 않아도 서로의 기분을 캐치하는 섬세한 연애를 즐겨요.,둘 다 너무 배려심 넘치는 천사들이라 가끔 결정 장애가 올 수 있어요! 가끔은 한 명이 박력 있게 '오늘 메뉴는 이거!'라고 외쳐주면 케미가 더 쫀쫀해져요.,"물멍 호수 산책, 독립 서점 투어, 감성 숙소 호캉스",2026-03-06 23:54:03
甲子(갑자),庚辰(경진),89,갓생 시너지 커플,"거침없는 리더 갑자와 카리스마 넘치는 경진이 만난 '성공 텐션' 세계관! 경진의 단단한 에너지가 갑자의 성장을 부스트해주고, 자(子)와 진(辰)이 만나 촉촉한 수기운을 만드니 서로를 향한 갈증이 해소되는 시너지 미쳤다! 서로를 리스펙하며 함께 목표를 이뤄가는 모습이 흡사 연애 예능 주인공 같은 찐사랑 바이브예요.",서로의 커리어와 취미를 응원하며 함께 레벨업하는 갓생 데이트 스타일! 같이 공부하거나 운동할 때 텐션이 폭발하는 아주 힙하고 멋진 분위기예요.,"둘 다 자기주장이 확실해서 가끔 의견 충돌이 있을 수 있지만, 이건 오히려 서로를 더 깊이 이해하게 되는 성장형 모먼트! 맛있는 디저트로 당 충전하며 대화하면 해결 완료!","러닝 크루 활동, 복합문화공간 방문, 테니스 클래스",2026-03-06 23:54:48
甲子(갑자),乙酉(을유),82,단짠 밸런스 케미,"든든한 대왕 나무 갑자와 섬세하고 힙한 을유가 만난 유니크한 조합! 갑자의 포용력과 을유의 날카로운 센스가 만나 서로의 부족한 2%를 채워주는 성장형 세계관이에요. 나무와 금의 기운이 만나 적절한 텐션을 유지하니, 지루할 틈 없는 티키타카가 완성되는 찐사랑 바이브! 서로를 자극하며 더 멋진 모습으로 다듬어주는 시너지가 미쳤다!",각자의 개성을 존중하면서도 결정적인 순간엔 찰떡같이 뭉치는 스타일! 트렌디한 핫플에서 서로 인생샷 찍어주며 폼나게 즐기는 힙한 데이트 바이브예요.,서로 표현 방식이 조금 다를 수 있지만 그건 서로에게 더 몰입하고 있다는 증거! 솔직한 대화로 마음을 공유하면 신뢰도가 떡상하는 마법이 펼쳐져요.,"편집숍 투어, 성수동 루프탑 바, 코인 노래방",2026-03-06 23:55:40
甲子(갑자),庚寅(경인),85,파워 성장형 커플,든든한 대왕 나무 갑자와 카리스마 넘치는 도끼 경금이 만난 역대급 자극 텐션! 경금이 갑자를 멋지게 다듬어주니 서로를 갓생 살게 만드는 시너지 미쳤다! 차가운 물을 품은 갑자와 뜨거운 열정의 경인이 만나 서로의 온도를 딱 맞춰주는 과정이 한 편의 성장 드라마 같아요. 서로의 잠재력을 풀파워로 끌어올리는 소울메이트 각!,서로의 목표를 응원하며 함께 레벨업하는 힙한 바이브! 리드하고 따르는 관계가 확실해서 데이트 코스 짤 때도 티키타카가 아주 찰떡이에요.,"둘 다 에너지가 워낙 강해서 가끔 의견 충돌이 있을 수 있지만, 이건 서로를 더 멋지게 조각해가는 과정일 뿐! 솔직한 대화로 폼나게 화해하면 케미 떡상!","등산 챌린지, 대형 쇼룸 투어, 스포츠 경기 직관",2026-03-06 23:56:22
甲子(갑자),乙未(을미),88,상호 보완 케미,"든든한 대왕 나무 갑자와 유연한 넝쿨 을미가 만나 서로의 부족함을 갓벽하게 채워주는 시너지 미쳤다! 차가운 물을 품은 갑자가 을미의 따뜻하고 마른 땅을 만나니, 서로의 온도를 딱 맞춰주는 정서적 안정감 대박이에요. 서로가 서로에게 꼭 필요한 영양분을 나눠주며 함께 꽃피우는 소울메이트 각! 안정감과 설렘이 공존하는 텐션 세계관이에요.",포근하고 안락한 바이브가 일품! 서로의 이야기를 귀담아들어 주는 힐링 데이트가 주를 이뤄요. 같이 있으면 마음이 편해져서 시간 순삭되는 찐사랑 스타일!,가끔은 서로 너무 편해서 속마음을 숨길 수 있어요. '오히려 좋아' 마인드로 솔직하게 감정을 공유하면 관계의 밀도가 200% 더 쫀쫀해질 거예요!,"식물원 카페, 정원 산책, 넷플릭스 정주행",2026-03-06 23:57:03
甲子(갑자),庚子(경자),84,갓생 메이트,든든한 대왕 나무 갑자와 카리스마 넘치는 원석 경금이 만난 파워 시너지! 경금이 갑자를 멋지게 다듬어주는 관계라 서로를 더 빛나게 만드는 성장형 세계관이에요. 특히 둘 다 '자(子)'라는 쿨한 지성을 공유하고 있어 감성 주파수가 소름 돋게 일치하는 소울메이트 각! 서로의 잠재력을 풀파워로 끌어올리는 텐션이 미쳤습니다.,서로 리스펙하며 함께 레벨업하는 힙한 바이브! 같이 공부하거나 미래를 설계할 때 텐션이 폭발하는 아주 스마트하고 쿨한 연애 스타일이에요.,둘 다 쿨톤 에너지가 강해서 가끔은 감정 표현이 담백할 수 있어요. 그럴 땐 오글거리는 칭찬 한마디면 찐사랑 지수가 무한 떡상하니 걱정 노노!,"와인 바, 북카페 데이트, 재즈 클럽",2026-03-06 23:57:53
甲子(갑자),乙巳(을사),88,갓생 시너지 커플,수직 상승하려는 큰 나무 갑(甲)과 화려한 꽃이자 넝쿨인 을(乙)이 만난 비주얼 천재 조합! 자(子)수의 깊은 감성과 사(巳)화의 핫한 에너지가 섞여 서로의 부족한 텐션을 채워주는 완벽한 상생 구조예요. 서로가 서로에게 영감을 주는 뮤즈 같은 존재라 같이 있으면 세상 힙한 아이디어가 폭발하는 소울메이트 각!,차분하고 듬직한 갑자 옆에 통통 튀는 을사가 붙어있는 그림! 같이 전시회를 가거나 힙한 카페에서 서로 사진 찍어주는 감성 충만 데이트 바이브가 흘러넘쳐요.,가끔은 각자만의 동굴 타임이 필요할 수 있어요. 서로의 독립적인 세계관을 쿨하게 인정해 주면 더 단단하고 깊은 찐사랑으로 레벨 업 가능!,"루프탑 바, 미디어 아트 전시, 테라스 브런치",2026-03-06 23:58:49
甲子(갑자),庚戌(경술),82,단짠단짠 갓생,곧게 뻗은 대나무 같은 갑자와 단단하고 시크한 원석 경술의 만남! 부드러운 감성과 날카로운 카리스마가 만나 텐션 세계관이 확고해요. 경술의 단단한 리드와 갑자의 유연함이 어우러지면 서로의 능력을 200% 끌어올리는 시너지 미친 조합! 마치 명품 콜라보 같은 세련된 에너지가 뿜뿜해요.,서로의 커리어나 목표를 리스펙하는 쿨한 무드! 같이 공부하거나 자기계발하는 '카공' 데이트에서도 찐사랑이 샘솟는 갓생 커플 바이브예요.,"가끔은 서로의 고집이 불꽃 튈 수 있지만, 이건 더 나은 방향을 찾기 위한 열정! 먼저 '오늘 수고했어' 한마디면 사르르 녹는 마법이 펼쳐져요.","팝업스토어 투어, 클라이밍, 와인 바",2026-03-06 23:59:41
甲子(갑자),乙卯(을묘),92,초록 힐링 케미,거대한 소나무 갑자와 싱그러운 덩굴 을묘가 만난 '숲세권' 조합! 같은 나무 기운이라 통하는 게 미쳤어요. 갑자가 든든한 버팀목이 되어주면 을묘가 예쁘게 감싸주는 비주얼 천재 커플이죠. 서로의 마음을 찰떡같이 알아채는 공감 능력이 만렙이라 대화만 해도 힐링되는 소울메이트 각!,보기만 해도 마음 편해지는 무공해 바이브! 자극적인 것보다 소소한 행복을 즐기며 둘만의 평화로운 세계관을 구축하는 스타일이에요.,둘 다 에너지가 비슷해서 가끔은 루즈해질 수도? 그럴 땐 새로운 취미로 텐션을 확 끌어올려 주면 권태기 따위 없는 찐사랑 완성!,"식물 카페 투어, LP바, 공원 산책",2026-03-07 00:00:17
甲子(갑자),庚申(경신),85,갓벽 성장 커플,"큰 나무 갑자와 단단한 원석 경신의 만남! 경신이 투박한 나무를 멋진 조각으로 다듬어주는 텐션 세계관이에요. 서로 다른 에너지가 부딪히며 스파크가 튀지만, 그만큼 서로를 성장시키는 시너지가 미쳤다! 서로의 리스펙 포인트를 자극하며 함께 목표를 이뤄가는 갓생 커플의 정석이에요.","솔직 담백하고 뒤끝 없는 쿨한 연애 바이브! 서로에게 자극제가 되어주는 대화가 오가며, 함께 있으면 에너지가 풀충전되는 느낌이에요.",둘 다 에너지가 강해서 가끔은 불꽃 튀는 밀당 천재가 될 수 있어요. 그럴 땐 갑자의 따뜻한 물 기운으로 경신을 살포시 안아주면 찐사랑 모드 유지!,"러닝 크루, 테니스 레슨, 핫플 웨이팅",2026-03-07 00:00:56
